,,,,,,,,,,,,,,Alt text for submission,"Optional long description or review note for complex figures, diagrams, or charts"
ALT-0010,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch31,Chapter 31: Architecture and Task Boundaries of Data Engineering Agents,docs/en/part10/ch31_agent_architecture.md,334,2031-02-01T00:00:00,Human-AI collaboration flow by risk level,Human-AI collaboration flow by risk level,docs/images/part10/Yu-Chap31-Fig02.svg,yes,16.510416x9.617118,svg,"A risk-based collaboration flow that starts with task submission and risk assessment, then branches into low-risk, medium-risk, high-risk, and autonomous L4 paths. Low-risk work goes through AI analysis and human execution, medium-risk work adds sandbox verification, high-risk work uses AI execution with final human approval, and L4 automation records lineage and periodic audit evidence.",
ALT-0011,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch32,"Chapter 32: Automated Collection, Parsing, and Cleaning Agents",docs/en/part10/ch32_auto_collection_parsing_cleaning.md,56,2032-01-01T00:00:00,Unified architecture for four-source collection agents,Unified architecture for four-source collection agents,docs/images/part10/Yu-Chap32-Fig01.svg,yes,100x100,svg,"A three-stage collection architecture for Git, API, PDF, and web sources. Inputs enter a connection layer, are parsed in an extraction layer, and then move through cleaning and quality-filter agents in a structuring layer before either reaching the data lake or a human review queue.",
ALT-0012,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch32,"Chapter 32: Automated Collection, Parsing, and Cleaning Agents",docs/en/part10/ch32_auto_collection_parsing_cleaning.md,132,2032-02-01T00:00:00,Parsing exception handling decision flow,Parsing exception handling decision flow,docs/images/part10/Yu-Chap32-Fig02.svg,yes,20.2x11,svg,"A parsing exception decision tree in which successful parses pass field-completeness and missing-rate checks before structured output or human review, while failed parses trigger exception detection, repair suggestions, alternative parsers, auto-transcoding, and retry paths for structural or encoding errors.",
ALT-0013,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch32,"Chapter 32: Automated Collection, Parsing, and Cleaning Agents",docs/en/part10/ch32_auto_collection_parsing_cleaning.md,243,2032-03-01T00:00:00,Tiered quality filtering pipeline,Tiered quality filtering pipeline,docs/images/part10/Yu-Chap32-Fig03.svg,yes,23.80315x11.692913,svg,"A tiered quality filtering pipeline for raw data influx. Records move through format, completeness, semantic, and quality-tagging stages, with the AI agent resolving some cases automatically and sending unresolved or inconsistent cases to a human queue before final storage.",
ALT-0014,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch33,"Chapter 33: Labeling, Synthesis, and Evaluation Agents",docs/en/part10/ch33_labeling_synthesis_evaluation.md,50,2033-01-01T00:00:00,Four dimensions of labeling-assistance agents,Four dimensions of labeling-assistance agents,docs/images/part10/Wang-Chap33-Fig01.svg,yes,23.80315x11.692913,svg,"A four-dimensional labeling-assistance workflow in which task distribution feeds an annotation-assist agent that provides explanations, example recommendations, gray-area support, and conflict arbitration to human annotators, after which the results are reviewed and stored in the database.",
ALT-0015,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch33,"Chapter 33: Labeling, Synthesis, and Evaluation Agents",docs/en/part10/ch33_labeling_synthesis_evaluation.md,120,2033-02-01T00:00:00,Synthetic data agent closed-loop pipeline,Synthetic data agent closed-loop pipeline,docs/images/part10/Wang-Chap33-Fig02.svg,yes,23.80315x11.692913,svg,"A multi-agent synthetic data generation pipeline that expands seed samples into prompts, generates synthetic data, verifies the outputs, stores passed data with a quality report, and sends failures into analysis, repair, or discard-and-record paths.",
ALT-0016,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch34,Chapter 34: DataOps Agents and Platform Autonomy,docs/en/part10/ch34_dataops_agent.md,52,2034-01-01T00:00:00,Alert-to-root-cause agent flow,Alert-to-root-cause agent flow,docs/images/part10/Luo-Chap34-Fig01.svg,yes,23.80315x11.692913,svg,"A closed-loop synthetic data workflow that expands seed samples into prompts, generates candidate data, verifies quality, stores the passed outputs with a quality report, and routes failures through analysis and discard-or-repair handling so the generation loop can be improved over time.",
ALT-0017,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch34,Chapter 34: DataOps Agents and Platform Autonomy,docs/en/part10/ch34_dataops_agent.md,144,2034-02-01T00:00:00,Rollback approval workflow,Rollback approval workflow,docs/images/part10/Luo-Chap34-Fig02.svg,yes,23.80315x11.692913,svg,"A rollback approval workflow with drafting, routing, and execution stages. The agent drafts a rollback plan, the owner reviews it, impact scope determines whether the change needs single, dual, or triple approval, and approved rollbacks are executed, verified, or escalated.",
ALT-0018,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch34,Chapter 34: DataOps Agents and Platform Autonomy,docs/en/part10/ch34_dataops_agent.md,176,2034-03-01T00:00:00,Pipeline self-healing decision flow,Pipeline self-healing decision flow,docs/images/part10/Luo-Chap34-Fig03.svg,yes,23.80315x11.692913,svg,"A pipeline self-healing decision flow in which fault detection leads to fault-type identification, permission checks, retries, resource refresh, waiting for upstream recovery, or human escalation, with the final state recorded so the pipeline can continue safely.",
ALT-0019,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch35,"Chapter 35: Security, Permissions, and Human-Agent Collaboration",docs/en/part10/ch35_security_permission_collaboration.md,80,2035-01-01T00:00:00,Layered approval flow for agent permissions,Layered approval flow for agent permissions,docs/images/part10/Luo-Chap35-Fig01.svg,yes,23.80315x11.692913,svg,"A layered permission approval flow for agents. Requests undergo risk assessment and then branch into auto execution, single approval, multi-approval, or compliance-reviewed restricted execution, with rejections, monitoring, and audit-log writes preserving traceability.",
ALT-0020,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch35,"Chapter 35: Security, Permissions, and Human-Agent Collaboration",docs/en/part10/ch35_security_permission_collaboration.md,121,2035-02-01T00:00:00,Layered prompt injection defense flow,Layered prompt injection defense flow,docs/images/part10/Luo-Chap35-Fig02.svg,yes,10.5x15.5,svg,"A layered prompt-injection defense flow in which external data is sanitized, assembled into structured prompts, and checked again on output, so normal execution can proceed only when verification passes; otherwise the case escalates to human review.",
ALT-0021,en,Part 10: Intelligent Data Engineering and Data Engineering Agents,Ch35,"Chapter 35: Security, Permissions, and Human-Agent Collaboration",docs/en/part10/ch35_security_permission_collaboration.md,238,2035-03-01T00:00:00,Agent security incident response flow,Agent security incident response flow,docs/images/part10/Luo-Chap35-Fig03.svg,yes,11.010417x11.388889,svg,"An incident-response workflow for a suspected agent compromise. The response moves through containment, triage, and validation: the agent is suspended, impact is assessed, data contamination is checked, downstream teams are notified, the vulnerability is patched and verified in a sandbox, the system is monitored for 48 hours, and permissions are restored only after anomalies clear.",
ALT-0022,en,Part 11: Privacy Compliance and Data Security,Ch36,Chapter 36: Data Compliance Framework and Governance,docs/en/part11/ch36_compliance_framework_and_governance.md,117,2036-01-01T00:00:00,Figure 36-1: Compliance shift-left and governance coordination architecture,Figure 36-1: Compliance shift-left and governance coordination architecture,docs/images/part11/Wang-Chap36-Fig01-ZH.svg,yes,1400x763,svg,"A layered governance architecture shows compliance moving left into requirements and design, with legal, business, platform, data, model, security, and audit roles aligned around policy templates, risk review, and engineering controls.",
ALT-0023,en,Part 11: Privacy Compliance and Data Security,Ch36,Chapter 36: Data Compliance Framework and Governance,docs/en/part11/ch36_compliance_framework_and_governance.md,237,2036-02-01T00:00:00,"Figure 36-2: Risk matrix formed by data level, purpose, and processing action","Figure 36-2: Risk matrix formed by data level, purpose, and processing action",docs/images/part11/Wang-Chap36-Fig02-ZH.svg,yes,1600x900,svg,"A workflow connects project intake, DPIA scoping, RoPA entry, risk review, approvals, and release gating, with audit evidence feeding a final go-or-no-go decision.",
ALT-0024,en,Part 11: Privacy Compliance and Data Security,Ch36,Chapter 36: Data Compliance Framework and Governance,docs/en/part11/ch36_compliance_framework_and_governance.md,440,2036-03-01T00:00:00,Figure 36-3: Compliance gate flow from data onboarding to model training,Figure 36-3: Compliance gate flow from data onboarding to model training,docs/images/part11/Wang-Chap36-Fig03-ZH.svg,yes,1600x900,svg,"A workflow turns privacy requirements into a structured privacy specification, policy rules, classifications, access controls, redaction choices, and preflight checks before release.",
ALT-0025,en,Part 11: Privacy Compliance and Data Security,Ch36,Chapter 36: Data Compliance Framework and Governance,docs/en/part11/ch36_compliance_framework_and_governance.md,455,2036-04-01T00:00:00,Figure 36-4: Privacy specification and policy generation flow,Figure 36-4: Privacy specification and policy generation flow,docs/images/part11/Wang-Chap36-Fig04-ZH.svg,yes,1400x786,svg,"A risk matrix maps data sensitivity, intended purpose, and processing action to show how the same dataset can require different controls in different contexts.",
ALT-0026,en,Part 11: Privacy Compliance and Data Security,Ch36,Chapter 36: Data Compliance Framework and Governance,docs/en/part11/ch36_compliance_framework_and_governance.md,470,2036-05-01T00:00:00,Figure 36-5: Engineering approval flow for DPIA and RoPA,Figure 36-5: Engineering approval flow for DPIA and RoPA,docs/images/part11/Wang-Chap36-Fig05-ZH.svg,yes,1600x900,svg,"An end-to-end compliance gate classifies incoming data, enforces authorization, removes or isolates sensitive fields, and blocks high-risk records from entering the training pipeline.",
ALT-0027,en,Part 11: Privacy Compliance and Data Security,Ch36,Chapter 36: Data Compliance Framework and Governance,docs/en/part11/ch36_compliance_framework_and_governance.md,514,2036-06-01T00:00:00,"Figure 36-6: Closed loop of audit logs, alerts, incident response, and postmortem review","Figure 36-6: Closed loop of audit logs, alerts, incident response, and postmortem review",docs/images/part11/Wang-Chap36-Fig06-ZH.svg,yes,1600x900,svg,"An incident-response loop uses audit logs and alerts to drive investigation, containment, recovery, and postmortem updates that feed back into governance controls.",
ALT-0028,en,Part 11: Privacy Compliance and Data Security,Ch36,Chapter 36: Data Compliance Framework and Governance,docs/en/part11/ch36_compliance_framework_and_governance.md,585,2036-07-01T00:00:00,Figure 36-7: Boundary gateway for third-party APIs and large-model calls,Figure 36-7: Boundary gateway for third-party APIs and large-model calls,docs/images/part11/Wang-Chap36-Fig07-ZH.svg,yes,1400x763,svg,"A boundary gateway inspects outbound prompts and payloads, redacts sensitive content, applies policy rules, and decides whether a third-party API or large language model call is allowed, modified, or blocked.",
ALT-0029,en,Part 11: Privacy Compliance and Data Security,Ch36,Chapter 36: Data Compliance Framework and Governance,docs/en/part11/ch36_compliance_framework_and_governance.md,705,2036-08-01T00:00:00,Figure 36-8: Full-path propagation and cleanup for user deletion requests,Figure 36-8: Full-path propagation and cleanup for user deletion requests,docs/images/part11/Wang-Chap36-Fig08-ZH.svg,yes,1800x1050,svg,"A deletion request propagates through source systems, derived features, caches, logs, model artifacts, and backups, showing how each copy is discovered and cleaned up.",
ALT-0030,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,45,2037-01-01T00:00:00,Figure 37-1: Privacy and compliance conflict in cross-institutional medical data collaboration,Figure 37-1: Privacy and compliance conflict in cross-institutional medical data collaboration,docs/images/part11/Wang-Chap37-Fig01-ZH.svg,yes,1400x780,svg,"Two hospitals and a research institute want to build a multimodal medical model, but privacy, consent, and cross-institution trust conflicts prevent raw data from being centralized.",
ALT-0031,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,74,2037-02-01T00:00:00,Figure 37-2: Structural tension between data utility and privacy protection,Figure 37-2: Structural tension between data utility and privacy protection,docs/images/part11/Wang-Chap37-Fig02-ZH.svg,yes,1400x760,svg,"A conceptual trade-off diagram shows that stronger privacy protection usually reduces available information, while higher data utility expands the exposure surface.",
ALT-0032,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,89,2037-03-01T00:00:00,Figure 37-3: Governance focus moves from data security to training security,Figure 37-3: Governance focus moves from data security to training security,docs/images/part11/Wang-Chap37-Fig03-ZH.svg,yes,1400x780,svg,"The governance focus shifts from protecting stored data to protecting the training process itself, including data loading, feature construction, aggregation, and model behavior.",
ALT-0033,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,98,2037-04-01T00:00:00,Figure 37-4: Landscape matrix of privacy-enhancing technologies,Figure 37-4: Landscape matrix of privacy-enhancing technologies,docs/images/part11/Wang-Chap37-Fig04-ZH.svg,yes,1400x900,svg,"A panorama matrix compares federated learning, differential privacy, secure multi-party computation, trusted execution environments, and homomorphic encryption by what they protect, when they apply, and their main trade-offs.",
ALT-0034,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,131,2037-05-01T00:00:00,Figure 37-5: Basic federated-learning training loop,Figure 37-5: Basic federated-learning training loop,docs/images/part11/Wang-Chap37-Fig05-ZH.svg,yes,1400x840,svg,"A round-based federated learning loop sends a global model from a central coordinator to multiple clients, each client trains locally on its own data, and aggregated updates form the next global model without moving raw data.",
ALT-0035,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,168,2037-06-01T00:00:00,Figure 37-6: DP-SGD training flow,Figure 37-6: DP-SGD training flow,docs/images/part11/Wang-Chap37-Fig06-ZH.svg,yes,1400x820,svg,"A differentially private SGD pipeline clips per-example gradients, adds noise to the aggregated update, and tracks the privacy budget across training rounds.",
ALT-0036,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,237,2037-07-01T00:00:00,Figure 37-7: Communication cost breakdown in federated training,Figure 37-7: Communication cost breakdown in federated training,docs/images/part11/Wang-Chap37-Fig07-ZH.svg,yes,1400x840,svg,"A communication-cost breakdown shows the traffic needed to broadcast the model, upload local updates, synchronize aggregation rounds, and absorb latency and bandwidth overhead across participants.",
ALT-0037,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,268,2037-08-01T00:00:00,Figure 37-8: Horizontal FL versus vertical FL,Figure 37-8: Horizontal FL versus vertical FL,docs/images/part11/Wang-Chap37-Fig08-ZH.svg,yes,1400x840,svg,"A side-by-side comparison contrasts horizontal and vertical federated learning, showing how data can be split by samples or by features and what matching steps each setup requires.",
ALT-0038,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,307,2037-09-01T00:00:00,Figure 37-9: Gradient inversion attack,Figure 37-9: Gradient inversion attack,docs/images/part11/Wang-Chap37-Fig09-ZH.svg,yes,1400x820,svg,"A gradient inversion attack diagram shows how an attacker can reconstruct sensitive training samples from observed gradients or model updates, even when raw data never leaves the client.",
ALT-0039,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,342,2037-10-01T00:00:00,Figure 37-10: Overall federated system architecture,Figure 37-10: Overall federated system architecture,docs/images/part11/Wang-Chap37-Fig10-ZH.svg,yes,1400x860,svg,"A system architecture view presents the coordinator, client runtimes, aggregator, privacy engine, and audit-governance layer as separate components with distinct control and data flows.",
ALT-0040,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,383,2037-11-01T00:00:00,"Figure 37-11: Closed loop across compliance governance, privacy pipeline, federated training, and application capability","Figure 37-11: Closed loop across compliance governance, privacy pipeline, federated training, and application capability",docs/images/part11/Wang-Chap37-Fig11-ZH.svg,yes,1400x860,svg,"A closed-loop pipeline links compliance governance, privacy controls, federated training, and downstream application capabilities so that policy, data preparation, training, deployment, and feedback reinforce one another.",
ALT-0041,en,Part 11: Privacy Compliance and Data Security,Ch37,Chapter 37: Federated Learning and Privacy-Preserving Technologies,docs/en/part11/ch37_federated_learning_and_privacy_preserving_technologies.md,408,2037-12-01T00:00:00,Figure 37-12: Privacy technology routes in medical and financial scenarios,Figure 37-12: Privacy technology routes in medical and financial scenarios,docs/images/part11/Wang-Chap37-Fig12-ZH.svg,yes,1400x860,svg,"A comparison of privacy technology routes shows that healthcare scenarios often favor cross-institution federated collaboration and secure aggregation, while financial scenarios lean toward stricter query control, auditability, and privacy-preserving computation.",
ALT-0042,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch38,"Chapter 38: Text Corpus Data Engineering: Open Web, Filtering, Deduplication, and Transparent Ledgers",docs/en/part12/ch38_text_corpora_transparent_ledger.md,235,1938-01-01T00:00:00,Figure 38-1 FineWeb MinHash deduplication and PII-processing flow,Figure 38-1 FineWeb MinHash deduplication and PII-processing flow,docs/images/part12/Mu-Chap38-Fig01-EN.svg,yes,2048x1152,svg,FineWeb MinHash deduplication and PII-processing flow. Source: original illustration based on Hugging Face DataTrove examples/fineweb.py and the FineWeb dataset card.,
ALT-0043,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch38,"Chapter 38: Text Corpus Data Engineering: Open Web, Filtering, Deduplication, and Transparent Ledgers",docs/en/part12/ch38_text_corpora_transparent_ledger.md,245,1938-02-01T00:00:00,Figure 38-2 FineWeb data-processing-choice ablation loop,Figure 38-2 FineWeb data-processing-choice ablation loop,docs/images/part12/Mu-Chap38-Fig02-EN.svg,yes,2048x1152,svg,FineWeb data-processing-choice ablation loop. Source: original illustration based on FineWeb paper Section 3.1.,
ALT-0044,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch38,"Chapter 38: Text Corpus Data Engineering: Open Web, Filtering, Deduplication, and Transparent Ledgers",docs/en/part12/ch38_text_corpora_transparent_ledger.md,514,1938-03-01T00:00:00,Figure 38-3 Dolma transparent-corpus evidence chain,Figure 38-3 Dolma transparent-corpus evidence chain,docs/images/part12/Mu-Chap38-Fig03-EN.svg,yes,2048x1152,svg,Dolma transparent-corpus evidence chain. Source: original illustration based on AllenAI Dolma Toolkit documentation.,
ALT-0045,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch38,"Chapter 38: Text Corpus Data Engineering: Open Web, Filtering, Deduplication, and Transparent Ledgers",docs/en/part12/ch38_text_corpora_transparent_ledger.md,536,1938-04-01T00:00:00,Figure 38-4 Dolma source mix and training-diagnosis loop,Figure 38-4 Dolma source mix and training-diagnosis loop,docs/images/part12/Mu-Chap38-Fig04-EN.svg,yes,2048x1152,svg,Dolma source mix and training-diagnosis loop. Source: original illustration based on the Dolma dataset card and OLMo training use.,
ALT-0046,en,Part 12: Specialized Datasets and Multimodal Data Engineering Practice,Ch39,"Chapter 39: Image-Text Data Engineering: Candidate Pool Construction, Multimodal Filtering, and DataComp Evaluation",docs/en/part12/ch39_image_text_candidate_pool_data_engineering.md,76,1939-01-01T00:00:00,Figure 39-1 Multi-channel schema for LAION-5B image-text candidate records,Figure 39-1 Multi-channel schema for LAION-5B image-text candidate records,docs/images/part12/Mu-Chap39-Fig01-EN.svg,yes,2048x1152,svg,Multi-channel schema for LAION-5B image-text candidate records. Source: original illustration based on the LAION-5B paper and LAION dataset-spec.," This figure explains that a LAION-5B image-text sample should be understood as a governable candidate record rather than a simple pair of one
  image and one caption. The center of the diagram is a stable candidate record with fields such as uid, image_url, text, clip_score, nsfw_score,
  watermark_score, shard_id, and removal_status. Around this record are five information channels. The web trace channel records the Common Crawl
  WAT source, image URL, alt text, and page URL. The text channel records language, text hash, and caption-noise information. The visual channel
  records download status, image width and height, and image hash. The alignment channel records the CLIP model, CLIP score, and filtering
  threshold, while emphasizing that CLIP score only measures image-text relevance and is not full quality assurance. The risk channel records NSFW,
  watermark, face-privacy, and license-hint signals. The release channel records dataset version, shard identifier, and removal status. On the
  right side, the same stable record is shown feeding different task views: a training-view preview, an evaluation-view preview, and a governance-
  view preview. A caption example below the record shows how a text caption may appear in one view while other metadata supports filtering,
  auditing, removal, and release governance. The legend distinguishes stable data links, non-channel notes or hints, and variable task views."
